district,state,sub_centres,phcs,chcs,sub_district_hospitals,district_hospitals,population_2011,area_sq_km
Bengaluru Rural,Karnataka,163,39,9,1,1,990923,2259
Bengaluru Urban,Karnataka,205,48,15,3,4,9621551,2196
Mysuru,Karnataka,314,69,18,2,2,3001127,6854
Belagavi,Karnataka,456,108,25,3,3,4779661,13415
Kalaburagi,Karnataka,289,72,15,2,2,2566326,10954
Ballari,Karnataka,244,61,12,2,2,2532383,8450
Tumakuru,Karnataka,328,73,16,2,2,2678980,10598
Shivamogga,Karnataka,228,55,14,2,1,1756218,8477
Dakshina Kannada,Karnataka,155,38,11,1,2,2083625,4560
Raichur,Karnataka,225,56,10,1,1,1924773,8430
Kolar,Karnataka,210,46,11,1,1,1536401,3969
Hassan,Karnataka,319,74,16,2,1,1776421,6814
Dharwad,Karnataka,153,37,9,1,2,1846993,4263
Mandya,Karnataka,232,54,12,1,1,1808680,4961
Chikkaballapura,Karnataka,183,41,8,1,1,1254377,4210
Haveri,Karnataka,182,45,10,1,1,1598506,4851
Kodagu,Karnataka,84,23,6,1,1,554762,4102
Uttara Kannada,Karnataka,274,64,15,2,1,1437169,10291
Chitradurga,Karnataka,219,50,10,1,1,1659456,8440
Davanagere,Karnataka,203,49,11,1,1,1946905,5924
Udupi,Karnataka,131,32,8,1,1,1177361,3880
Gadag,Karnataka,117,30,7,1,1,1065235,4656
Bidar,Karnataka,196,47,10,1,1,1703300,5448
Chamarajanagara,Karnataka,161,40,8,1,1,1020791,5101
Ramanagara,Karnataka,133,31,6,1,1,1082739,3556
Bagalkote,Karnataka,196,51,11,1,1,1890826,6594
Yadgir,Karnataka,148,37,6,1,1,1174271,5235
Vijayapura,Karnataka,228,55,12,1,1,2177331,10541
Koppal,Karnataka,155,38,7,1,1,1389920,5570
Chikkamagaluru,Karnataka,199,48,11,1,1,1137753,7201
